2025-01-22 18:00:04,231 - INFO - 01-22-2025 06:00:04 PM | sensor: 4, wheatstone voltage:  1.66329, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 18:02:13,955 - WARNING - 01-22-2025 06:02:13 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:02:19,091 - WARNING - 01-22-2025 06:02:19 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:02:24,103 - WARNING - 01-22-2025 06:02:23 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:02:29,235 - WARNING - 01-22-2025 06:02:29 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:02:34,250 - WARNING - 01-22-2025 06:02:34 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:02:39,384 - INFO - 01-22-2025 06:02:39 PM | sensor: 3, wheatstone voltage:  1.57857, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 18:04:47,349 - WARNING - 01-22-2025 06:04:47 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:04:52,487 - WARNING - 01-22-2025 06:04:52 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:04:57,496 - WARNING - 01-22-2025 06:04:57 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:05:02,627 - WARNING - 01-22-2025 06:05:02 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:05:07,644 - WARNING - 01-22-2025 06:05:07 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:05:12,776 - WARNING - 01-22-2025 06:05:12 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:05:17,791 - WARNING - 01-22-2025 06:05:17 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:05:22,929 - WARNING - 01-22-2025 06:05:22 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:05:27,938 - WARNING - 01-22-2025 06:05:27 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:07:34,065 - INFO - 01-22-2025 06:07:34 PM | sensor: 3, wheatstone voltage:  1.57747, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 18:07:39,198 - INFO - 01-22-2025 06:07:39 PM | sensor: 3, wheatstone voltage:  1.57747, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 18:07:44,212 - INFO - 01-22-2025 06:07:44 PM | sensor: 4, wheatstone voltage:  1.66169, range: 0, log amp voltage:  0.00000, battery voltage:  3.76200
2025-01-22 18:07:49,346 - INFO - 01-22-2025 06:07:49 PM | sensor: 4, wheatstone voltage:  1.66169, range: 0, log amp voltage:  0.00000, battery voltage:  3.76200
2025-01-22 18:07:54,359 - INFO - 01-22-2025 06:07:54 PM | sensor: 4, wheatstone voltage:  1.66169, range: 0, log amp voltage:  0.00000, battery voltage:  3.76200
2025-01-22 18:10:04,189 - WARNING - 01-22-2025 06:10:04 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 18:10:09,330 - WARNING - 01-22-2025 06:10:09 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:10:14,336 - WARNING - 01-22-2025 06:10:14 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 18:10:19,463 - WARNING - 01-22-2025 06:10:19 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
